text_a	label
谁有狂三这张高清的	0
英雄联盟什么英雄最好	1
这是什么意思，被蹭网吗	0
现在有什么动画片好看呢？	1
请问晶达电子厂现在的工资待遇怎么样要求有哪些	0
文章真的爱姚笛吗	0
送自己做的闺蜜什么生日礼物好	1
近期上映的电影	1
求英雄联盟大神带？	1
如加上什么部首	0
杭州哪里好玩	1
这是什么乌龟值钱吗	1
心各有所属是什么意思？	0
什么东西越热爬得越高	1
世界杯哪位球员进球最多	0
韭菜多吃什么好处	1
云赚钱怎么样	0
何炅结婚了嘛	1
长的清新是什么意思	0
我们可以结婚了吗？	0
想买男人酒补肾壮阳酒哪里有啊	1
淘宝上怎么用信用卡分期付款	0
最近有没有什么好看的韩剧	1
《校花的贴身高手》中的林逸	1
叔叔是什么人	0
这姑娘漂亮不	0
在淘宝网买手机可靠吗？	1
山楂干怎么吃好吃？	0
时间都去哪怕了歌谱	0
苏州哪里能买到这个衣服	0
最好玩的手机网游	1
石榴是什么时候成熟的？	0
刘诗诗杨幂谁漂亮	1
微信号怎么二次修改	1
什么牌子的精油皂好	0
刚出生的小野鸡怎么养	0
如何入侵他人手机	1
红米刷什么系统好	1
这叫什么高跟鞋	1
